Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,Complain,Response,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases
1971,PG,Single,65808.0,30-05-2014,1,0,0,2,272,0,14
1974,PG,relationship,30351.0,06-06-2013,19,0,0,1,46,0,6
1963,PG,relationship,50437.0,17-10-2012,28,0,0,2,490,0,19
1982,PG,Single,23616.0,17-11-2012,76,0,1,1,79,0,8
1976,PG,relationship,53858.0,09-11-2012,50,0,0,1,915,0,17
1955,PG,relationship,66465.0,30-03-2013,1,0,0,1,1485,1,35
1987,PG,Single,46923.0,22-08-2012,90,0,0,1,369,0,16
1962,PG,relationship,75072.0,23-01-2013,83,0,0,1,1073,0,19
1943,PG,relationship,75865.0,31-03-2014,73,0,0,0,1242,0,19
1975,PG,relationship,19789.0,20-11-2013,24,0,0,1,78,1,9
1994,PG,relationship,80134.0,14-02-2014,11,0,0,0,1378,4,21
1981,PG,Single,91065.0,22-02-2013,33,0,1,0,1474,2,26
1971,PG,relationship,49505.0,05-03-2013,4,0,0,2,751,0,29
1973,PG,relationship,37401.0,06-05-2014,14,0,0,1,48,0,7
1983,PG,relationship,30096.0,22-05-2014,30,0,0,1,45,0,6
1982,PG,relationship,18492.0,05-06-2014,75,0,0,1,10,0,4
1974,PG,relationship,82584.0,04-06-2013,26,0,1,0,1435,2,16
1953,PG,relationship,48686.0,04-12-2013,8,0,0,3,20,0,4
1989,PG,relationship,75433.0,05-04-2014,28,0,0,1,1188,2,19
1989,PG,relationship,10404.0,04-05-2014,52,0,0,1,43,0,7
1968,PG,relationship,61314.0,25-04-2013,1,0,0,1,1008,0,24
1961,PG,Single,84865.0,09-05-2013,1,0,1,0,1688,4,16
1989,PG,relationship,42387.0,29-10-2012,42,0,0,1,684,0,21
1967,PG,relationship,67309.0,23-01-2013,76,0,0,2,1082,0,39
1964,PG,relationship,75236.0,25-11-2013,27,0,0,1,1068,0,25
1970,PG,Single,30015.0,02-02-2014,28,0,0,1,57,0,7
1956,PG,relationship,50943.0,21-06-2013,49,0,0,1,46,0,5
1966,PG,Single,67272.0,21-12-2013,12,0,0,1,733,0,23
1949,PG,Single,51529.0,07-09-2013,14,0,0,1,467,0,17
1971,PG,relationship,32011.0,22-08-2013,89,0,0,1,122,0,10
1986,PG,relationship,7500.0,07-02-2013,96,0,0,1,36,0,7
1989,PG,relationship,28691.0,04-07-2013,56,0,0,1,34,0,5
1948,PG,relationship,56223.0,20-12-2013,72,0,0,1,156,0,10
1946,PG,relationship,18100.0,06-08-2013,14,0,0,0,14,0,4
1989,PG,Single,30279.0,30-12-2012,13,0,0,1,37,0,5
1974,PG,relationship,20130.0,17-03-2014,99,0,0,0,34,0,5
1959,PG,Single,23295.0,13-07-2013,72,0,0,0,20,0,4
1972,PG,Single,42618.0,09-10-2013,92,0,0,1,192,0,11
1964,PG,Single,81246.0,29-12-2013,87,0,0,0,1379,2,17
1976,PG,relationship,24027.0,09-06-2013,7,0,0,1,48,0,7
1953,PG,relationship,55707.0,22-12-2013,91,0,0,1,428,0,16
1955,PG,Single,57959.0,02-05-2013,71,0,0,1,868,0,27
1969,PG,relationship,56796.0,16-02-2013,24,0,0,1,1001,0,27
1971,PG,Single,36230.0,17-10-2013,17,0,0,1,59,0,7
1980,PG,relationship,70829.0,01-12-2013,87,0,0,2,431,0,16
1976,PG,relationship,65991.0,07-09-2012,21,0,0,1,971,0,27
1972,PG,relationship,38988.0,20-08-2012,90,0,0,3,348,0,19
1984,PG,relationship,42207.0,01-04-2013,71,0,1,1,265,1,14
1952,PG,relationship,50300.0,25-05-2014,52,0,0,1,270,0,13
1982,PG,relationship,66664.0,25-09-2012,78,0,0,0,1289,0,19
1964,PG,relationship,60597.0,01-01-2014,2,0,1,1,893,1,16
1949,PG,Single,70165.0,22-09-2013,60,0,0,0,926,0,22
1958,PG,Single,50520.0,28-01-2014,25,0,0,1,135,0,9
1963,PG,relationship,80124.0,26-06-2014,47,0,0,0,1495,1,19
1975,PG,relationship,33183.0,24-02-2014,46,0,0,1,120,0,9
1969,PG,Single,66582.0,03-03-2014,83,0,0,0,1288,0,20
1970,PG,Single,31880.0,31-10-2012,13,0,0,1,15,0,4
1951,PG,relationship,53790.0,06-03-2014,86,0,0,2,542,0,20
1971,PG,relationship,49269.0,15-08-2012,92,0,0,1,890,0,25
1975,PG,relationship,61456.0,27-03-2013,47,0,0,1,1388,0,33
1980,PG,relationship,37406.0,10-10-2013,18,0,1,1,17,0,4
1981,PG,relationship,56937.0,04-08-2012,81,0,1,1,906,1,30
1978,PG,relationship,38415.0,02-01-2013,91,0,0,2,44,0,6
1988,PG,Single,20518.0,18-05-2014,58,0,0,1,25,0,5
1956,PG,relationship,62503.0,18-02-2013,40,0,0,1,973,0,26
1972,PG,Single,41644.0,09-05-2014,67,0,0,2,31,0,6
1977,PG,relationship,55842.0,23-05-2014,19,0,0,1,518,0,17
1972,PG,relationship,62010.0,23-10-2012,93,0,0,1,530,0,19
1977,PG,relationship,41124.0,31-10-2012,41,0,0,1,506,0,21
1973,PG,relationship,38961.0,30-12-2013,60,0,0,1,70,0,6
1972,PG,Single,37760.0,11-08-2013,54,0,0,1,54,0,6
1974,PG,Single,32233.0,19-08-2012,26,0,1,1,296,1,12
1975,PG,relationship,43057.0,30-10-2013,30,0,0,1,266,0,15
1960,PG,relationship,83151.0,10-10-2012,93,0,0,0,747,0,19
1964,PG,Single,78825.0,14-09-2012,35,0,1,0,895,0,29
1976,PG,relationship,65104.0,14-11-2013,4,0,0,1,1053,0,17
1974,PG,relationship,60093.0,26-06-2013,92,0,0,1,735,0,21
1969,PG,relationship,14045.0,26-01-2014,24,0,0,1,20,0,5
1952,PG,Single,28457.0,28-10-2012,96,0,0,0,205,0,10
1976,PG,Single,46310.0,03-12-2012,99,0,0,1,309,0,14
1964,PG,Single,58308.0,12-01-2013,77,0,0,1,900,0,15
1944,PG,Single,55614.0,27-11-2013,85,0,0,0,682,1,20
1962,PG,Single,59432.0,13-04-2013,88,0,0,1,663,0,22
1978,PG,Single,55563.0,05-04-2014,22,0,0,1,43,0,6
1949,PG,relationship,67911.0,22-05-2014,63,0,0,1,976,0,27
1944,PG,relationship,65275.0,03-04-2013,9,0,0,0,746,0,21
1950,PG,relationship,27203.0,06-08-2012,92,0,0,2,64,0,6
1961,PG,relationship,48330.0,15-11-2013,2,0,0,1,32,0,5
1990,UG,relationship,24279.0,29-12-2012,6,0,0,0,263,0,9
1985,PG,relationship,64355.0,24-08-2012,66,0,0,1,1445,0,21
1956,PG,relationship,50943.0,21-06-2013,49,0,0,1,46,0,5
1953,PG,Single,53653.0,07-11-2012,29,0,0,0,1210,0,28
1976,PG,relationship,65665.0,02-12-2013,77,0,0,1,945,0,24
1989,PG,Single,81217.0,19-07-2013,77,0,0,0,1157,0,22
1992,PG,relationship,34935.0,21-06-2013,71,0,0,0,137,0,8
1959,PG,Single,61250.0,16-12-2012,49,0,0,1,730,0,25
1981,PG,relationship,39665.0,25-05-2013,97,0,0,1,216,1,12
1979,PG,Single,60152.0,28-03-2013,6,0,0,1,943,0,23
1964,PG,relationship,48920.0,20-10-2013,93,0,0,2,347,1,16
1946,PG,relationship,44124.0,11-05-2013,62,0,0,1,397,0,17
1961,PG,relationship,36443.0,03-02-2013,9,0,0,2,138,0,11
1990,PG,Single,26095.0,30-06-2013,77,0,0,1,42,0,5
1959,PG,relationship,71367.0,23-08-2013,24,0,0,0,777,0,17
1965,PG,Single,30630.0,27-01-2014,67,0,0,2,52,0,7
1987,PG,Single,73454.0,01-03-2014,95,0,0,0,1651,1,13
1991,PG,relationship,42691.0,16-08-2013,48,0,0,0,358,0,13
1987,PG,relationship,25545.0,08-09-2012,35,0,1,1,210,0,10
1986,PG,relationship,32880.0,04-12-2012,76,0,0,1,42,0,5
1958,PG,relationship,77863.0,27-11-2013,20,0,0,0,1291,0,20
1977,PG,relationship,50353.0,08-06-2014,72,0,0,0,442,0,15
1960,PG,relationship,49154.0,03-11-2013,69,0,0,2,411,0,19
1975,PG,Single,47682.0,15-02-2013,80,0,0,1,521,0,19
1969,PG,Single,72679.0,18-09-2013,65,0,0,1,1168,0,17
1977,PG,relationship,57954.0,18-06-2014,52,0,0,2,493,1,23
1962,PG,relationship,65316.0,24-04-2013,65,0,0,2,260,0,12
1982,PG,Single,28567.0,17-06-2013,57,0,0,1,46,0,7
1951,PG,relationship,47352.0,11-04-2013,70,0,0,1,319,0,16
1967,PG,relationship,44931.0,18-01-2014,0,0,0,1,96,0,7
1967,PG,Single,76982.0,15-02-2014,19,0,1,0,1062,1,16
1952,PG,relationship,57247.0,08-08-2013,50,0,0,1,232,0,12
1981,PG,Single,22944.0,23-12-2013,67,0,0,1,76,0,9
1977,PG,relationship,25315.0,07-11-2013,46,0,0,1,54,0,9
1969,PG,Single,43638.0,06-08-2012,37,0,0,1,201,0,11
1984,PG,Single,42710.0,28-11-2012,38,0,0,1,406,0,14
1976,PG,relationship,54058.0,04-06-2013,56,0,0,1,662,0,20
1990,PG,relationship,24683.0,08-03-2014,98,0,0,1,41,0,8
1964,PG,Single,85620.0,07-01-2014,68,0,1,0,1600,0,14
1980,PG,relationship,47850.0,03-12-2013,72,0,0,1,134,0,8
1968,PG,relationship,19514.0,26-01-2014,47,0,1,2,69,1,10
1973,PG,relationship,27159.0,29-03-2014,33,0,0,2,21,0,6
1963,PG,Single,39548.0,31-03-2014,87,0,0,2,54,0,7
1989,PG,Single,21474.0,08-04-2014,0,0,1,1,91,1,8
1971,PG,Single,60504.0,07-02-2014,73,0,0,1,526,0,18
1963,PG,relationship,22419.0,18-04-2013,74,0,0,0,162,0,8
1949,PG,relationship,81698.0,06-11-2013,4,0,1,0,1008,0,25
1952,PG,relationship,43462.0,12-09-2012,50,0,0,2,240,0,16
1978,PG,Single,54880.0,01-03-2013,57,0,0,1,795,0,21
1970,PG,relationship,15315.0,03-08-2013,27,0,0,0,64,0,8
1978,PG,relationship,33039.0,09-09-2013,4,0,0,1,78,0,7
1980,PG,Single,81741.0,16-06-2013,75,0,0,0,1572,0,19
1971,PG,relationship,71499.0,25-06-2013,12,0,0,1,795,0,26
1970,PG,relationship,62466.0,15-01-2014,13,0,0,1,889,0,26
1963,PG,Single,48799.0,05-11-2013,9,0,0,1,331,0,15
1950,PG,relationship,52157.0,07-06-2014,48,0,0,1,265,0,12
1962,PG,Single,66565.0,05-12-2012,80,0,0,1,1065,0,19
1951,PG,relationship,29298.0,07-09-2013,60,0,0,2,11,0,4
1979,PG,Single,47691.0,05-07-2013,43,0,0,1,21,0,4
1970,PG,relationship,38200.0,07-12-2012,19,0,0,2,17,0,4
1974,PG,relationship,44989.0,12-09-2012,26,0,0,1,369,0,16
1968,PG,relationship,38443.0,27-01-2014,58,0,0,2,38,0,6
1978,PG,Single,38593.0,13-09-2013,42,0,0,1,177,0,11
1970,PG,relationship,64413.0,01-08-2013,27,0,0,1,279,0,12
1981,PG,relationship,36959.0,02-10-2013,56,0,0,1,62,0,7
1977,PG,relationship,61996.0,31-01-2013,27,0,1,1,1230,3,21
1968,PG,relationship,51287.0,01-04-2014,10,0,0,2,182,0,11
1970,PG,relationship,13260.0,23-08-2013,48,0,0,2,49,0,10
1966,PG,relationship,47472.0,16-09-2013,39,0,0,2,75,0,8
1956,PG,relationship,54603.0,09-07-2013,85,0,0,2,227,0,16
1974,PG,relationship,45207.0,10-11-2012,64,0,0,2,215,1,15
1951,PG,relationship,40689.0,18-03-2013,69,0,0,1,444,0,20
1967,PG,relationship,47821.0,20-10-2013,54,0,0,2,47,0,5
1951,PG,relationship,27450.0,15-04-2013,57,0,0,0,143,0,7
1983,PG,relationship,39453.0,03-04-2014,64,0,0,1,55,0,7
1971,PG,relationship,26850.0,18-04-2014,10,0,0,2,63,0,11
1961,PG,relationship,61794.0,14-09-2013,74,0,0,1,611,0,20
1955,PG,relationship,53863.0,17-05-2014,4,0,0,1,473,1,18
1959,PG,relationship,24221.0,20-08-2013,94,0,0,0,55,0,6
1984,PG,Single,39684.0,12-10-2012,41,1,1,1,81,0,7
1965,PG,Single,69882.0,10-11-2013,94,0,0,0,1478,0,20
1977,PG,relationship,33178.0,30-01-2014,9,0,0,1,49,0,5
1972,PG,relationship,59973.0,11-09-2013,47,0,0,0,382,0,15
1975,PG,relationship,17459.0,19-09-2013,12,0,1,1,69,0,9
1969,PG,Single,23910.0,26-10-2012,80,0,0,1,67,0,6
1969,PG,relationship,42169.0,19-10-2013,20,0,0,2,30,0,6
1978,PG,relationship,26224.0,04-06-2013,39,0,0,1,63,0,9
1981,PG,relationship,31089.0,17-08-2012,57,0,0,1,79,0,10
1961,PG,Single,30081.0,21-02-2013,27,0,0,1,42,0,5
1960,PG,relationship,62807.0,31-08-2012,83,0,0,1,819,0,23
1955,PG,Single,72906.0,17-09-2013,79,0,0,0,1151,0,17
1948,PG,relationship,61467.0,09-12-2012,69,0,0,2,594,0,20
1966,PG,relationship,49618.0,26-01-2013,77,0,0,2,129,0,11
1986,PG,Single,21888.0,29-12-2012,15,0,1,1,213,0,12
1973,PG,Single,42429.0,11-02-2014,99,0,0,1,67,0,7
1956,PG,Single,26150.0,11-03-2013,61,0,0,3,28,0,5
1975,UG,relationship,30801.0,26-10-2012,23,0,0,1,45,0,6
1965,PG,relationship,81168.0,07-05-2014,84,0,0,0,1193,1,18
1969,PG,Single,26877.0,19-08-2013,74,0,0,0,268,0,12
1944,PG,Single,45006.0,18-07-2013,90,0,0,0,266,0,12
1973,UG,relationship,18978.0,11-12-2012,41,0,0,1,37,0,5
1967,PG,relationship,22574.0,28-10-2013,28,0,0,3,37,0,7
1969,PG,Single,48240.0,09-11-2012,73,0,1,0,882,0,25
1974,PG,relationship,45837.0,26-07-2013,88,0,0,2,373,0,18
1965,PG,Single,35791.0,06-05-2013,94,0,0,3,35,0,6
1976,PG,relationship,162397.0,03-06-2013,31,0,0,2,107,0,1
1978,PG,Single,54162.0,18-03-2013,31,0,0,2,42,0,5
1960,PG,relationship,30522.0,17-08-2012,6,0,0,1,326,0,17
1961,PG,relationship,54456.0,11-07-2013,23,0,0,1,404,0,17
1971,PG,Single,31632.0,14-07-2013,92,0,0,0,95,0,6
1949,PG,Single,72298.0,10-03-2014,52,0,0,0,939,2,14
1978,PG,Single,36975.0,28-12-2013,50,0,0,1,33,0,5
1955,PG,relationship,72635.0,03-06-2013,54,0,0,0,981,1,21
1976,PG,relationship,13624.0,20-01-2013,93,0,0,1,36,0,7
1975,PG,Single,84196.0,03-06-2013,56,0,0,1,1237,0,20
1977,PG,Single,34487.0,06-09-2012,94,0,0,2,103,0,9
1977,PG,Single,28769.0,18-12-2012,76,0,0,1,191,0,12
1970,PG,relationship,69084.0,19-11-2013,43,0,0,1,1586,0,25
1958,PG,relationship,65488.0,13-06-2014,46,0,0,0,963,0,14
1970,PG,relationship,62466.0,15-01-2014,13,0,0,1,889,0,26
1960,PG,Single,32218.0,15-02-2014,27,0,1,0,93,1,7
1973,PG,Single,83917.0,18-04-2013,12,0,1,0,1587,0,21
1962,PG,Single,46102.0,10-03-2014,3,0,0,3,16,0,4
1952,PG,Single,84574.0,04-06-2013,72,0,0,0,1375,0,32
1962,PG,relationship,56181.0,08-01-2013,6,0,0,1,393,0,14
1950,PG,Single,63120.0,28-09-2012,53,0,1,1,1477,0,26
1971,PG,relationship,73691.0,06-11-2013,58,0,0,1,1179,1,18
1960,PG,relationship,63381.0,05-10-2012,78,0,0,1,1005,0,26
1948,PG,relationship,76140.0,13-05-2014,57,0,0,0,1348,0,21
1959,PG,Single,62859.0,30-12-2012,37,0,0,1,1307,0,23
1964,PG,Single,45906.0,07-05-2013,20,0,0,1,486,1,15
1971,PG,relationship,46463.0,18-08-2013,56,0,0,2,235,0,17
1970,PG,Single,55282.0,13-12-2013,9,0,0,1,235,0,11
1977,PG,relationship,78710.0,23-05-2014,42,0,0,1,1092,0,28
1958,PG,relationship,66886.0,16-09-2013,28,0,0,1,599,0,17
1985,PG,relationship,29103.0,27-08-2012,38,0,0,1,48,0,6
1974,PG,relationship,67445.0,12-08-2012,63,0,0,1,1174,0,32
1950,PG,relationship,50616.0,13-04-2014,71,0,0,1,67,0,7
1955,PG,Single,49431.0,03-08-2012,9,0,0,1,365,0,15
1975,PG,Single,153924.0,07-02-2014,81,0,0,0,6,0,0
1953,PG,relationship,61278.0,04-01-2014,87,0,0,1,165,0,10
1958,PG,relationship,26490.0,22-09-2012,92,0,0,0,210,0,11
1947,PG,relationship,73059.0,31-08-2013,36,0,0,1,1095,0,26
1966,PG,Single,46734.0,21-10-2013,86,0,0,3,223,1,12
1963,PG,relationship,56253.0,07-12-2012,83,0,0,1,597,0,22
1985,PG,relationship,19986.0,14-11-2013,74,0,0,1,22,0,4
1975,PG,Single,58330.0,25-12-2013,87,0,0,1,1064,0,24
1980,UG,relationship,25965.0,07-09-2012,29,0,0,0,74,0,6
1956,PG,relationship,14661.0,01-01-2013,88,0,0,0,26,0,5
1959,PG,relationship,18690.0,28-12-2012,77,0,0,0,60,0,5
1974,PG,relationship,45068.0,16-05-2013,25,0,0,1,20,0,4
1987,UG,Single,21063.0,25-09-2013,34,0,0,1,59,0,7
1968,PG,relationship,29187.0,09-05-2013,43,0,0,1,34,0,5
1971,PG,relationship,54690.0,07-11-2013,76,0,0,2,198,0,12
1964,PG,relationship,59304.0,29-07-2013,81,0,0,1,1048,0,28
1962,PG,Single,59247.0,08-11-2013,87,0,0,2,574,0,21
1970,PG,Single,66731.0,12-09-2012,33,0,0,1,1029,0,17
1980,PG,relationship,77353.0,16-12-2013,38,0,0,1,670,0,20
1975,PG,Single,52614.0,01-12-2012,63,0,0,1,990,0,16
1974,PG,relationship,26751.0,22-05-2014,26,0,0,2,11,0,4
1963,PG,relationship,81300.0,30-10-2012,17,0,1,1,1241,1,21
1979,PG,Single,70337.0,02-01-2014,75,0,0,0,576,0,17
1985,PG,relationship,36145.0,16-06-2013,13,0,1,1,172,1,12
1980,PG,Single,65295.0,23-12-2013,19,0,0,0,664,0,20
1963,PG,Single,68118.0,18-10-2013,51,0,0,1,928,0,23
1982,PG,relationship,41039.0,25-07-2013,32,0,0,0,467,0,15
1955,PG,relationship,38946.0,24-10-2013,84,0,0,1,257,0,12
1967,PG,relationship,65777.0,19-12-2013,87,0,0,0,1146,0,17
1976,PG,Single,66476.0,07-03-2013,99,0,0,1,689,0,20
1989,PG,relationship,77845.0,16-05-2014,40,0,0,0,1346,2,21
1969,PG,relationship,69476.0,30-09-2013,3,0,0,0,1044,0,15
1960,PG,Single,50611.0,04-10-2012,98,0,1,1,493,1,22
1970,PG,Single,61209.0,25-08-2013,73,0,0,0,957,0,13
1958,PG,relationship,42315.0,12-07-2013,90,0,0,1,270,0,12
1952,UG,relationship,13084.0,02-11-2013,29,0,0,0,29,0,5
1949,PG,Single,47570.0,29-05-2013,3,0,1,2,121,0,9
1961,PG,relationship,61923.0,26-07-2013,94,0,0,2,126,0,8
1995,PG,Single,34824.0,26-03-2014,65,0,0,0,23,0,4
1949,PG,Single,26518.0,08-04-2013,33,0,1,2,57,0,8
1961,PG,Single,45938.0,03-11-2013,46,0,0,0,636,0,20
1960,PG,relationship,78468.0,09-04-2014,29,0,0,0,1004,1,28
1973,PG,Single,78901.0,17-09-2013,99,0,0,1,734,0,20
1978,PG,relationship,71427.0,12-03-2014,26,0,0,2,614,0,20
1978,PG,Single,71022.0,11-02-2014,30,0,0,1,1453,1,21
1988,PG,Single,90247.0,29-04-2014,27,0,1,0,1621,3,15
1968,PG,Single,41335.0,26-12-2013,24,0,0,1,187,0,12
1986,PG,relationship,71952.0,10-01-2013,93,0,0,1,1443,2,22
1970,PG,Single,35682.0,27-06-2014,34,0,0,1,57,0,6
1951,PG,Single,43185.0,10-04-2013,88,0,0,1,637,0,20
1948,PG,relationship,66375.0,21-11-2013,96,0,0,1,948,1,14
1971,PG,relationship,35178.0,10-01-2013,10,0,1,1,59,1,5
1986,PG,relationship,25252.0,12-07-2013,26,0,0,1,18,0,4
1965,PG,Single,55250.0,21-10-2012,49,0,0,1,903,0,26
1975,PG,Single,33249.0,20-02-2013,11,0,0,1,112,0,8
1953,PG,relationship,58398.0,14-05-2013,44,0,0,0,596,0,20
1982,PG,relationship,50272.0,07-08-2013,75,0,0,1,233,0,13
1975,PG,relationship,76618.0,07-12-2012,64,0,0,0,1511,0,11
1960,PG,Single,87305.0,23-09-2012,19,0,1,0,1152,1,17
1978,PG,relationship,25851.0,11-02-2013,45,0,0,1,48,0,7
1970,PG,Single,58710.0,31-03-2013,77,0,0,1,1185,0,31
1958,PG,Single,45160.0,29-03-2014,9,0,0,2,21,0,4
1965,PG,relationship,74806.0,19-12-2012,1,0,0,1,965,0,16
1954,PG,relationship,59111.0,02-05-2013,90,0,0,0,869,0,21
1984,PG,relationship,18988.0,23-05-2014,43,0,0,1,16,0,6
1976,PG,relationship,7500.0,01-08-2012,19,0,1,1,71,1,12
1966,PG,relationship,44794.0,08-06-2014,99,0,0,1,65,0,6
1955,PG,relationship,80395.0,23-11-2013,62,0,0,0,1380,1,24
1976,PG,Single,75012.0,25-01-2014,41,0,0,0,1027,0,23
1965,PG,relationship,56962.0,11-10-2013,60,0,0,3,411,0,21
1991,PG,relationship,89891.0,15-04-2013,17,0,0,0,836,1,26
1949,PG,Single,35946.0,27-09-2013,24,0,0,2,11,0,4
1953,PG,relationship,53593.0,07-08-2012,60,0,0,2,480,0,23
1978,PG,relationship,66373.0,12-06-2013,57,0,0,2,606,0,23
1948,PG,Single,45072.0,16-10-2013,74,0,0,3,284,0,16
1973,PG,Single,89694.0,09-10-2013,22,0,0,2,1472,3,14
1949,PG,relationship,72025.0,29-04-2014,46,0,1,0,1677,3,26
1973,PG,relationship,67432.0,29-03-2013,69,0,0,1,1335,0,19
1952,PG,relationship,70545.0,03-06-2014,29,0,0,1,334,0,13
1989,UG,relationship,17487.0,18-03-2013,37,0,0,1,18,0,4
1969,PG,relationship,62882.0,09-08-2012,26,0,0,1,1338,0,20
1953,PG,Single,64108.0,23-03-2013,8,0,0,1,1099,0,30
1956,PG,relationship,34941.0,06-03-2013,26,0,0,2,97,0,8
1950,PG,Single,48767.0,01-01-2014,79,0,0,3,63,0,9
1978,PG,relationship,38702.0,01-08-2013,71,0,0,1,109,0,9
1964,PG,relationship,82224.0,25-01-2014,83,0,0,0,902,1,21
1952,PG,relationship,83844.0,12-05-2013,57,0,0,0,1574,1,20
1975,PG,relationship,17003.0,09-12-2013,37,0,0,1,38,0,9
1995,PG,Single,71163.0,09-03-2014,30,0,0,0,960,0,24
1970,PG,Single,33697.0,15-09-2013,34,0,0,1,28,1,4
1954,PG,relationship,63564.0,29-01-2014,0,0,1,0,1215,1,28
1972,PG,relationship,83443.0,31-12-2013,89,0,0,0,1497,0,22
1958,PG,relationship,51518.0,03-10-2013,92,0,0,1,449,0,17
1975,PG,Single,58330.0,25-12-2013,87,0,0,1,1064,0,24
1979,PG,relationship,75507.0,02-05-2014,56,0,0,0,1440,0,21
1978,PG,relationship,63855.0,09-02-2013,28,0,0,0,1006,0,24
1972,PG,relationship,62220.0,11-08-2012,55,0,1,1,1226,0,23
1964,PG,relationship,58512.0,19-09-2013,25,0,0,1,1171,0,20
1979,PG,relationship,40662.0,15-03-2013,0,0,0,1,92,0,8
1959,PG,relationship,38829.0,06-04-2014,86,0,0,1,99,0,8
1981,PG,relationship,35523.0,03-10-2013,8,0,0,1,66,0,8
1967,PG,Single,79146.0,24-04-2014,33,0,0,2,564,0,19
1988,PG,relationship,78285.0,28-10-2013,13,0,0,0,1427,0,21
1978,PG,Single,31626.0,10-05-2013,12,0,1,1,86,1,6
1952,PG,Single,75127.0,22-05-2014,92,0,0,0,833,0,19
1955,PG,relationship,48726.0,27-04-2013,90,0,0,1,242,0,12
1987,PG,relationship,67430.0,05-09-2012,6,0,0,0,1364,0,29
1965,PG,relationship,46891.0,01-09-2013,91,0,0,1,183,0,8
1956,PG,relationship,62058.0,26-05-2013,52,0,0,1,450,0,18
1979,PG,relationship,72063.0,03-07-2013,3,0,0,1,758,0,21
1951,PG,relationship,78939.0,12-12-2013,57,0,0,0,1507,0,20
1965,PG,Single,42720.0,24-04-2013,9,0,1,2,654,0,25
1972,PG,relationship,33622.0,13-04-2013,22,0,0,2,81,0,9
1957,PG,relationship,6835.0,08-12-2012,76,0,0,1,137,0,1
1953,PG,relationship,41452.0,06-03-2013,86,0,0,2,16,0,4
1965,PG,Single,40760.0,30-08-2013,64,0,0,1,93,0,8
1958,PG,relationship,74250.0,26-01-2014,90,0,0,0,1158,0,18
1955,PG,Single,51124.0,18-12-2013,79,0,0,2,43,0,6
1971,PG,Single,72258.0,12-09-2013,28,0,0,1,1525,0,22
1974,PG,Single,71466.0,05-04-2014,86,0,0,0,1230,0,19
1976,PG,relationship,36283.0,14-04-2014,42,0,0,2,29,0,6
1970,PG,Single,20587.0,11-05-2014,39,0,0,1,25,0,5
1972,PG,relationship,30467.0,19-03-2014,8,0,0,1,24,0,4
1972,PG,relationship,31590.0,18-06-2013,40,0,0,1,38,0,5
1986,UG,relationship,20425.0,29-10-2012,5,0,0,1,57,0,7
1960,PG,relationship,17144.0,15-02-2014,96,0,0,2,47,0,12
1968,PG,Single,42564.0,02-01-2013,28,0,1,1,813,1,24
1978,PG,relationship,43783.0,29-05-2014,22,0,0,1,629,1,22
1976,PG,Single,40780.0,08-09-2012,30,0,0,1,377,0,17
1945,PG,relationship,62847.0,15-01-2013,45,0,0,0,1612,0,14
1957,PG,relationship,82017.0,07-11-2012,58,0,1,0,729,3,17
1950,PG,Single,16813.0,19-07-2013,49,0,0,0,50,1,6
1978,PG,relationship,51267.0,29-10-2013,37,0,0,2,270,0,15
1961,PG,Single,46524.0,05-04-2013,70,0,0,1,177,0,9
1962,PG,Single,45183.0,20-01-2013,33,0,0,0,315,1,13
1954,PG,relationship,70421.0,28-06-2014,98,0,0,1,767,0,23
1965,PG,Single,60161.0,23-10-2012,17,0,0,1,1071,0,26
1973,PG,relationship,73926.0,02-03-2013,54,0,0,0,1580,0,24
1968,PG,relationship,19329.0,14-12-2013,39,0,0,1,60,0,10
1970,PG,relationship,61872.0,13-12-2013,81,0,0,1,573,0,21
1956,PG,Single,46984.0,26-03-2013,71,0,0,2,41,0,5
1951,PG,relationship,34838.0,19-01-2013,62,0,0,2,170,0,10
1944,PG,Single,82716.0,05-11-2013,8,0,0,0,1167,0,28
1958,PG,relationship,48192.0,06-04-2013,76,0,1,0,1526,3,25
1976,PG,relationship,49681.0,04-11-2013,66,0,0,2,458,0,21
1971,PG,relationship,56850.0,23-03-2014,83,0,0,1,63,0,6
1957,PG,relationship,55267.0,21-10-2013,28,0,0,1,405,0,17
1972,PG,relationship,59666.0,22-03-2013,87,0,0,2,1027,1,20
1972,PG,Single,72504.0,06-04-2013,43,0,0,1,1478,0,22
1981,PG,relationship,26872.0,16-10-2013,0,0,0,0,72,0,5
1972,PG,Single,21359.0,20-04-2013,1,0,1,1,48,0,7
1975,PG,Single,73170.0,31-05-2014,1,0,0,0,726,0,16
1955,PG,relationship,52750.0,04-02-2013,72,0,0,1,860,0,27
1986,PG,relationship,91820.0,23-11-2013,72,0,0,0,1497,0,22
1970,PG,relationship,65968.0,12-05-2014,12,0,0,1,495,0,18
1976,PG,relationship,30772.0,12-03-2014,89,0,0,2,20,0,4
1954,PG,Single,22507.0,24-11-2012,67,0,0,0,570,0,19
1972,PG,relationship,65685.0,29-03-2014,54,0,0,1,769,0,21
1978,PG,relationship,25804.0,01-09-2013,34,0,0,1,55,0,7
1972,PG,relationship,22063.0,08-08-2013,43,0,0,1,55,0,7
1961,PG,Single,57091.0,15-06-2014,0,0,1,0,577,1,18
